zipf = 1  ctx = 0.0------------------------------------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型
46,2971750737601,2971750857303,119702,普通
47,2971750738100,2971750857544,119444,普通
48,2971750846781,2971750985887,139105,普通
49,2971750857242,2971750990226,132984,普通
50,2971750857458,2971750998956,141498,普通
51,2971750983177,2971750999119,15942,普通
52,2971750986124,2971751114833,128709,普通
53,2971750990389,2971751115612,125223,普通
54,2971751110081,2971751116429,6347,普通
55,2971751110092,2971751129773,19681,普通
56,2971751115309,2971751307005,191696,普通
57,2971751116036,2971751307231,191195,普通
58,2971751116958,2971751307768,190810,普通
59,2971751129936,2971751310965,181029,普通
60,2971751307143,2971751483974,176830,普通
61,2971751307508,2971751485628,178120,普通
62,2971751311127,2971751497840,186713,普通
63,2971751311507,2971751498504,186996,普通
64,2971751484167,2971751499517,15349,普通
65,2971751486020,2971751500019,13998,普通
66,2971751498755,2971751619368,120612,普通
67,2971751498718,2971751620426,121708,普通
68,2971751499920,2971751726136,226215,普通
69,2971751607108,2971751726215,119107,普通
70,2971751619879,2971751730353,110473,普通
71,2971751620807,2971751738596,117788,普通
72,2971751726265,2971751843038,116773,普通
73,2971751726918,2971751843704,116786,普通
74,2971751730628,2971751852727,122098,普通
75,2971751738768,2971751853670,114901,普通
76,2971751843320,2971751854648,11328,普通
77,2971751844058,2971751855104,11046,普通
78,2971751853531,2971751981144,127613,普通
79,2971751853866,2971751981488,127621,普通
80,2971751854975,2971751990336,135360,普通
81,2971751855718,2971752133122,277403,普通
82,2971751981331,2971752139445,158114,普通
83,2971751985611,2971752142140,156528,普通
84,2971751990886,2971752143884,152997,普通
85,2971752134274,2971752249385,115110,普通
86,2971752140028,2971752250451,110423,普通
87,2971752144522,2971752252102,107579,普通
88,2971752144499,2971752257702,113202,普通
89,2971752249750,2971752381961,132210,普通
90,2971752250939,2971752384641,133701,普通
91,2971752252466,2971752388153,135687,普通
92,2971752258266,2971752389162,130895,普通
93,2971752382117,2971752389773,7656,普通
94,2971752384888,2971752528341,143453,普通
95,2971752388312,2971752529100,140787,普通
96,2971752389535,2971752529392,139857,普通
97,2971752390683,2971752532496,141812,普通
98,2971752528523,2971752708127,179603,普通
