zipf = 0.8 ctx = 0.0----------------------------------------------------------


交易ID,开始时间,完成时间,延迟(微秒),类型
36,3044086374334,3044086958555,584221,普通
37,3044086665562,3044087298405,632843,普通
38,3044086668805,3044087298839,630033,普通
39,3044086815404,3044087298843,483438,普通
40,3044086967820,3044087431991,464171,普通
41,3044087420252,3044087941387,521134,普通
42,3044087420660,3044087941392,520732,普通
43,3044087421192,3044087941434,520242,普通
44,3044087432382,3044087941439,509057,普通
45,3044087943443,3044088643414,699971,普通
46,3044088115195,3044088643420,528225,普通
47,3044088124748,3044088647480,522732,普通
48,3044088125931,3044088647506,521574,普通
49,3044088644281,3044089385750,741468,普通
50,3044088644356,3044089385756,741400,普通
51,3044088819483,3044089612670,793186,普通
52,3044088821776,3044089619232,797455,普通
53,3044089390755,3044089622925,232170,普通
54,3044089402317,3044090231440,829122,普通
55,3044089612996,3044090240103,627107,普通
56,3044089623357,3044090241607,618250,普通
57,3044089954893,3044090740963,786070,普通
58,3044090231892,3044090966323,734430,普通
59,3044090425792,3044090966328,540535,普通
60,3044090427735,3044090966464,538729,普通
61,3044090757893,3044091357663,599770,普通
62,3044090971238,3044091357949,386710,普通
63,3044090970175,3044091357952,387776,普通
64,3044091343604,3044091962986,619381,普通
65,3044091562394,3044092111625,549230,普通
66,3044091572053,3044092114277,542224,普通
67,3044091573980,3044092362825,788844,普通
68,3044091964693,3044092854384,889691,普通
69,3044092113493,3044092858975,745481,普通
70,3044092116425,3044092868058,751633,普通
71,3044092363164,3044093068394,705229,普通
72,3044093069220,3044093803315,734095,普通
73,3044093069465,3044093803318,733853,普通
74,3044093069300,3044093995805,926504,普通
75,3044093073342,3044094002313,928970,普通
76,3044093803655,3044094421805,618150,普通
77,3044094002580,3044094736060,733479,普通
78,3044094002840,3044094740102,737262,普通
79,3044094029734,3044095135568,1105833,普通
80,3044094422310,3044095155308,732998,普通
81,3044094737156,3044095532993,795836,普通
82,3044094902701,3044095915220,1012519,普通
83,3044095136331,3044095915545,779214,普通
84,3044095155750,3044095917616,761865,普通
85,3044095533417,3044095920112,386695,普通
86,3044095920053,3044096621685,701631,普通
87,3044095915941,3044096624741,708799,普通
88,3044095919445,3044096624746,705300,普通
89,3044095941105,3044097098871,1157765,普通
90,3044096625157,3044097111297,486139,普通
91,3044096637478,3044097114102,476624,普通
92,3044096656730,3044097117279,460549,普通
93,3044097100991,3044097959396,858405,普通
94,3044097111606,3044097959402,847795,普通
95,3044097304175,3044097974120,669945,普通
96,3044097303998,3044097976775,672777,普通
97,3044097959853,3044098510860,551007,普通
98,3044097967609,3044098662103,694493,普通
99,3044097975168,3044098666442,691273,普通
100,3044098166489,3044098850920,684430,普通

=== 执行统计 ===
第一笔交易开始时间: 3044082528741 微秒
第100笔交易完成时间: 3044098850920 微秒
前100笔交易总执行时间(包含跨链延迟): 16322179 微秒
前100笔交易总执行时间(不含跨链延迟): 16322179 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
