zipf_= 0.8 ctx = 0.0----------------------------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型,区块ID,总延迟(微秒),是否中止
54,3034007184090,3034007320395,136305,普通,1,1586062,0
57,3034007414386,3034007417000,2613,普通,1,1682667,0
48,3034007319915,3034007436562,116647,普通,1,1702229,0
55,3034007186477,3034007548932,362454,普通,1,1814599,0
59,3034007436917,3034007553130,116212,普通,1,1818797,0
56,3034007419790,3034007562522,142732,普通,1,1828189,0
60,3034007549273,3034007673582,124309,普通,1,1939249,0
62,3034007562833,3034007683143,120310,普通,1,1948810,0
63,3034007673824,3034007685558,11733,普通,1,1951225,0
58,3034007681156,3034007686935,5778,普通,1,1952602,0
61,3034007676239,3034007795528,119288,普通,1,2061195,0
64,3034007683429,3034007799969,116539,普通,1,2065636,0
66,3034007687339,3034007805024,117684,普通,1,2070691,0
68,3034007800197,3034007930164,129967,普通,1,2195831,0
65,3034007803910,3034007941876,137965,普通,1,2207543,0
69,3034007939494,3034008054821,115326,普通,1,2320488,0
71,3034008052162,3034008059022,6860,普通,1,2324689,0
67,3034007935759,3034008060405,124645,普通,1,2326072,0
70,3034007930581,3034008065611,135030,普通,1,2331278,0
72,3034008055134,3034008157560,102425,普通,1,2423227,0
73,3034008059285,3034008173888,114602,普通,1,2439555,0
75,3034008065879,3034008183120,117240,普通,1,2448787,0
74,3034008181669,3034008286404,104734,普通,1,2552071,0
77,3034008174181,3034008295544,121362,普通,1,2561211,0
78,3034008183593,3034008300440,116847,普通,1,2566107,0
76,3034008288175,3034008301287,13111,普通,1,2566954,0
79,3034008286669,3034008410949,124279,普通,1,2676616,0
81,3034008300663,3034008413914,113251,普通,1,2679581,0
80,3034008295893,3034008422034,126141,普通,1,2687701,0
82,3034008302321,3034008424159,121837,普通,1,2689826,0
83,3034008411413,3034008516630,105217,普通,1,2782297,0
84,3034008414929,3034008519036,104107,普通,1,2784704,0
86,3034008424427,3034008650708,226280,普通,1,2916375,0
85,3034008653907,3034008657689,3782,普通,1,2923356,0
88,3034008651695,3034008662633,10938,普通,1,2928300,0
89,3034008653286,3034008752611,99324,普通,1,3018278,0
87,3034008516909,3034008753338,236429,普通,1,3019005,0
91,3034008663029,3034008762136,99107,普通,1,3027803,0
90,3034008752496,3034008875279,122783,普通,1,3140946,0
93,3034008753634,3034008876563,122928,普通,1,3142230,0
95,3034008875543,3034008888244,12700,普通,1,3153911,0
94,3034008762408,3034008891926,129517,普通,1,3157593,0
92,3034008752835,3034008892248,139413,普通,1,3157916,0
97,3034008888489,3034008976986,88496,普通,1,3242653,0
100,3034008977238,3034008983759,6520,普通,1,3249426,0
99,3034008892522,3034008989685,97163,普通,1,3255352,0
98,3034008892368,3034008990172,97804,普通,1,3255839,0
96,3034008887804,3034009086589,198785,普通,1,3352256,0
218,3034015814332,3034015814332,0,普通,2,10079999,1

=== 执行统计 ===
第一笔交易开始时间: 3034005734332 微秒
最后一笔交易完成时间: 3034009086589 微秒
前100笔交易总执行时间(包含跨链延迟): 3352256 微秒
前100笔交易总执行时间(不含跨链延迟): 3352256 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型,区块ID,总延迟(微秒),是否中止
2,3034007141784,3034007151371,9586,普通,1,9586,0
4,3034007142092,3034007155451,13359,普通,1,13666,0
3,3034007141854,3034007163317,21462,普通,1,21532,0
1,3034007141784,3034007313622,171838,普通,1,171837,0
6,3034007155748,3034007316125,160377,普通,1,174340,0
5,3034007151858,3034007316482,164624,普通,1,174698,0
9,3034007316376,3034007322454,6078,普通,1,180669,0
11,3034007322708,3034007329507,6798,普通,1,187722,0
10,3034007316784,3034007422324,105540,普通,1,280539,0
7,3034007163598,3034007438567,274969,普通,1,296782,0
13,3034007432050,3034007438676,6626,普通,1,296892,0
8,3034007313921,3034007438999,125078,普通,1,297215,0
12,3034007329764,3034007556992,227227,普通,1,415207,0
15,3034007438912,3034007566908,127996,普通,1,425123,0
17,3034007557235,3034007571382,14146,普通,1,429597,0
16,3034007439367,3034007573992,134624,普通,1,432207,0
14,3034007438877,3034007575002,136125,普通,1,433217,0
18,3034007567125,3034007578167,11042,普通,1,436382,0
19,3034007571630,3034007691113,119482,普通,1,549328,0
22,3034007578431,3034007691170,112739,普通,1,549385,0
20,3034007574298,3034007799769,225471,普通,1,657985,0
24,3034007691407,3034007800808,109401,普通,1,659024,0
23,3034007691338,3034007805553,114215,普通,1,663768,0
26,3034007801366,3034007818837,17470,普通,1,677052,0
27,3034007806049,3034007820097,14047,普通,1,678312,0
21,3034007797451,3034007932795,135343,普通,1,791010,0
25,3034007800126,3034007942872,142745,普通,1,801087,0
28,3034007942640,3034007952257,9616,普通,1,810472,0
29,3034007820349,3034008057380,237031,普通,1,915596,0
30,3034007933054,3034008068282,135227,普通,1,926497,0
33,3034008059523,3034008073699,14176,普通,1,931915,0
32,3034007952547,3034008075690,123142,普通,1,933905,0
31,3034008064292,3034008163227,98935,普通,1,1021443,0
34,3034008068521,3034008171447,102926,普通,1,1029663,0
37,3034008163876,3034008173803,9926,普通,1,1032018,0
35,3034008073938,3034008181535,107597,普通,1,1039750,0
39,3034008175535,3034008186127,10592,普通,1,1044342,0
40,3034008285153,3034008287789,2636,普通,1,1146004,0
41,3034008186359,3034008300805,114445,普通,1,1159020,0
36,3034008170508,3034008300935,130426,普通,1,1159150,0
38,3034008176328,3034008302030,125702,普通,1,1160245,0
42,3034008288080,3034008414874,126794,普通,1,1273089,0
46,3034008422862,3034008425688,2826,普通,1,1283903,0
45,3034008302295,3034008518505,216210,普通,1,1376721,0
44,3034008427038,3034008521243,94205,普通,1,1379459,0
49,3034008521479,3034008525735,4256,普通,1,1383950,0
48,3034008518777,3034008529638,10860,普通,1,1387853,0
51,3034008530094,3034008653119,123024,普通,1,1511334,0
50,3034008526012,3034008750170,224157,普通,1,1608385,0
43,3034008665109,3034008764567,99458,普通,1,1622782,0
47,3034008667257,3034008892274,225017,普通,1,1750489,0
53,3034008757460,3034008895702,138241,普通,1,1753917,0
55,3034008892586,3034008899088,6501,普通,1,1757304,0
54,3034008764820,3034009013097,248277,普通,1,1871312,0
56,3034009008610,3034009019681,11070,普通,1,1877897,0
59,3034009151807,3034009155190,3383,普通,1,2013405,0
57,3034009014320,3034009155404,141084,普通,1,2013619,0
52,3034009006754,3034009167530,160775,普通,1,2025745,0
58,3034009013448,3034009252412,238964,普通,1,2110627,0
63,3034009252708,3034009256680,3972,普通,1,2114896,0
61,3034009155657,3034009259249,103592,普通,1,2117464,0
62,3034009167881,3034009260185,92304,普通,1,2118401,0
