zipf = 0.8 ctx = 0.0-----------------------------------------
交易ID,开始时间,完成时间,延迟(微秒),类型
=== 执行统计 ===
第一笔交易开始时间: 2985120820850 微秒
第100笔交易完成时间: 2985123411910 微秒
前100笔交易总执行时间(包含跨链延迟): 2591059 微秒
前100笔交易总执行时间(不含跨链延迟): 2591059 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2985122659788,2985122675318,15530,普通
2,2985122659803,2985122677264,17461,普通
3,2985122659813,2985122677269,17455,普通
4,2985122659805,2985122677273,17467,普通
5,2985122675779,2985122780975,105196,普通
6,2985122677718,2985122780983,103264,普通
7,2985122677907,2985122780985,103078,普通
8,2985122678174,2985122780988,102814,普通
9,2985122781231,2985122873073,91841,普通
10,2985122781785,2985122873077,91291,普通
11,2985122781833,2985122890299,108466,普通
12,2985122781855,2985122900053,118198,普通
13,2985122873638,2985122949601,75962,普通
14,2985122873615,2985122949605,75990,普通
15,2985122948914,2985122968969,20055,普通
16,2985122949109,2985122968974,19864,普通
17,2985122950801,2985122972023,21221,普通
18,2985122951027,2985122972029,21001,普通
19,2985122969303,2985123066895,97591,普通
20,2985122969341,2985123066898,97557,普通
21,2985123049163,2985123066957,17794,普通
22,2985123049707,2985123066964,17257,普通
23,2985123067152,2985123169916,102764,普通
24,2985123067271,2985123169921,102649,普通
25,2985123067383,2985123171110,103726,普通
26,2985123067663,2985123171112,103448,普通
27,2985123170255,2985123285346,115090,普通
28,2985123171444,2985123288092,116647,普通
29,2985123171658,2985123288097,116439,普通
30,2985123171690,2985123288597,116906,普通
31,2985123285504,2985123420657,135153,普通
32,2985123288374,2985123421236,132862,普通
33,2985123288807,2985123421240,132432,普通
34,2985123291753,2985123421242,129489,普通
35,2985123421019,2985123500193,79174,普通
36,2985123421616,2985123500197,78581,普通
37,2985123421637,2985123504316,82678,普通
38,2985123421653,2985123504320,82667,普通
39,2985123500755,2985123610812,110056,普通
40,2985123500835,2985123611300,110464,普通
41,2985123504534,2985123630867,126332,普通
42,2985123505673,2985123630871,125197,普通
43,2985123611321,2985123630874,19552,普通
44,2985123611575,2985123630877,19301,普通
45,2985123730769,2985123746453,15684,普通
46,2985123730787,2985123761848,31060,普通
47,2985123730874,2985123762389,31514,普通
48,2985123733488,2985123861318,127830,普通
49,2985123746654,2985123861323,114668,普通
50,2985123762030,2985123861326,99295,普通
51,2985123850406,2985123861438,11031,普通
52,2985123861594,2985123865400,3805,普通
53,2985123869795,2985123976034,106239,普通
54,2985123865738,2985123978214,112476,普通
55,2985123870090,2985123980821,110730,普通
56,2985123870389,2985124092219,221830,普通
57,2985123976221,2985124092223,116002,普通
58,2985123978384,2985124094786,116401,普通
59,2985124079538,2985124099003,19465,普通
60,2985124094888,2985124099201,4312,普通
61,2985124099165,2985124198629,99464,普通
62,2985124099179,2985124209998,110818,普通
63,2985124099410,2985124210001,110591,普通
64,2985124101164,2985124307126,205962,普通
65,2985124202799,2985124315886,113087,普通
66,2985124210173,2985124315891,105717,普通
67,2985124210236,2985124320038,109802,普通
68,2985124307294,2985124320066,12772,普通
69,2985124316158,2985124418153,101995,普通
70,2985124316202,2985124420742,104540,普通
71,2985124320229,2985124528263,208033,普通
72,2985124414707,2985124533576,118868,普通
73,2985124418291,2985124537184,118892,普通
74,2985124436267,2985124537202,100934,普通
75,2985124528412,2985124537256,8844,普通
76,2985124533805,2985124537260,3454,普通
77,2985124537416,2985124618920,81503,普通
78,2985124537981,2985124633819,95837,普通
79,2985124538308,2985124633822,95514,普通
80,2985124538520,2985124633826,95305,普通
81,2985124619993,2985124638919,18925,普通
82,2985124634098,2985124741770,107671,普通
83,2985124634121,2985124741774,107653,普通
84,2985124634352,2985124741820,107467,普通
85,2985124732253,2985124741823,9569,普通
86,2985124741974,2985124829644,87669,普通
87,2985124742146,2985124829654,87508,普通
88,2985124742325,2985124829707,87381,普通
89,2985124742566,2985124833374,90807,普通
90,2985124830439,2985124930297,99857,普通
91,2985124830757,2985124938977,108220,普通
92,2985124830683,2985124939239,108555,普通
93,2985124833673,2985124939270,105597,普通
94,2985124930475,2985124939390,8914,普通
95,2985124939135,2985125041681,102545,普通
96,2985124939568,2985125041686,102117,普通
97,2985124942169,2985125140987,198817,普通
98,2985124942196,2985125140995,198799,普通
99,2985125041913,2985125151127,109213,普通
100,2985125042121,2985125151205,109083,普通

=== 执行统计 ===
第一笔交易开始时间: 2985122659788 微秒
第100笔交易完成时间: 2985125151205 微秒
前100笔交易总执行时间(包含跨链延迟): 2491417 微秒
前100笔交易总执行时间(不含跨链延迟): 2491417 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2985124648487,2985124664663,16175,普通
2,2985124648561,2985124664685,16123,普通
3,2985124648643,2985124664688,16044,普通
4,2985124648700,2985124664691,15990,普通
5,2985124665280,2985124762838,97558,普通
6,2985124665150,2985124767442,102292,普通
7,2985124665259,2985124767447,102187,普通
8,2985124665348,2985124767451,102102,普通
9,2985124763325,2985124770481,7155,普通
10,2985124767761,2985124859783,92021,普通
11,2985124767740,2985124948657,180916,普通
12,2985124767749,2985124948662,180912,普通
13,2985124770814,2985124952016,181201,普通
14,2985124860187,2985124952020,91833,普通
15,2985124949094,2985124966609,17514,普通
16,2985124949983,2985125062997,113013,普通
17,2985124952287,2985125072014,119726,普通
18,2985124952454,2985125075152,122698,普通
19,2985124967007,2985125075281,108274,普通
20,2985125063214,2985125075421,12207,普通
21,2985125072221,2985125075547,3325,普通
22,2985125075326,2985125173606,98280,普通
23,2985125076723,2985125181250,104527,普通
24,2985125077172,2985125188234,111062,普通
25,2985125080306,2985125283128,202821,普通
26,2985125173734,2985125287159,113425,普通
27,2985125181495,2985125289694,108198,普通
28,2985125283313,2985125289697,6383,普通
29,2985125287606,2985125304663,17056,普通
30,2985125289852,2985125399944,110091,普通
31,2985125290136,2985125399949,109813,普通
32,2985125300169,2985125400023,99853,普通
33,2985125304961,2985125400072,95110,普通
34,2985125400172,2985125490237,90064,普通
35,2985125401338,2985125494508,93169,普通
36,2985125401423,2985125494513,93089,普通
37,2985125401671,2985125494517,92845,普通
38,2985125490442,2985125591163,100720,普通
39,2985125495201,2985125591167,95966,普通
40,2985125496327,2985125602588,106261,普通
41,2985125497167,2985125608062,110895,普通
42,2985125591446,2985125608066,16620,普通
43,2985125596169,2985125608224,12055,普通
44,2985125602886,2985125729742,126855,普通
45,2985125722271,2985125738591,16320,普通
46,2985125722387,2985125738595,16207,普通
47,2985125722656,2985125834412,111755,普通
48,2985125730284,2985125836202,105917,普通
49,2985125739057,2985125847537,108480,普通
50,2985125739178,2985125847568,108390,普通
51,2985125834713,2985125847572,12859,普通
52,2985125836633,2985125847575,10942,普通
53,2985125847941,2985125926855,78914,普通
54,2985125847967,2985125926860,78892,普通
55,2985125848085,2985125926865,78779,普通
56,2985125848101,2985126021762,173660,普通
57,2985125927156,2985126027618,100461,普通
58,2985125927418,2985126033086,105668,普通
59,2985125928170,2985126033090,104919,普通
60,2985126022965,2985126033103,10138,普通
61,2985126028681,2985126128562,99881,普通
62,2985126033450,2985126128568,95118,普通
63,2985126033483,2985126128572,95088,普通
64,2985126033781,2985126132019,98237,普通
65,2985126128852,2985126210991,82138,普通
66,2985126128871,2985126225916,97045,普通
67,2985126128988,2985126327212,198223,普通
68,2985126208573,2985126334278,125704,普通
69,2985126211121,2985126334284,123163,普通
70,2985126226081,2985126334289,108207,普通
71,2985126327338,2985126334292,6954,普通
72,2985126334699,2985126425255,90556,普通
73,2985126334784,2985126425260,90475,普通
74,2985126334798,2985126426441,91643,普通
75,2985126334947,2985126427522,92574,普通
76,2985126426564,2985126521835,95270,普通
77,2985126426464,2985126521840,95375,普通
78,2985126427568,2985126521843,94275,普通
79,2985126428436,2985126521957,93520,普通
80,2985126522047,2985126616284,94237,普通
81,2985126522135,2985126616290,94155,普通
82,2985126522758,2985126616293,93535,普通
83,2985126528440,2985126718944,190504,普通
84,2985126616639,2985126724328,107688,普通
85,2985126617773,2985126726547,108774,普通
86,2985126617925,2985126728545,110619,普通
87,2985126719217,2985126728903,9686,普通
88,2985126724545,2985126812326,87780,普通
89,2985126726751,2985126815519,88767,普通
90,2985126728784,2985126815522,86738,普通
91,2985126729111,2985126815525,86414,普通
92,2985126812546,2985126830377,17831,普通
93,2985126815795,2985126899995,84199,普通
94,2985126816213,2985126902815,86601,普通
95,2985126820580,2985126902821,82240,普通
96,2985126830610,2985126902825,72214,普通
97,2985126900232,2985126910354,10122,普通
98,2985126903117,2985126910358,7241,普通
99,2985126908364,2985126982864,74499,普通
100,2985126908940,2985126988023,79082,普通

=== 执行统计 ===
第一笔交易开始时间: 2985124648487 微秒
第100笔交易完成时间: 2985126988023 微秒
前100笔交易总执行时间(包含跨链延迟): 2339535 微秒
前100笔交易总执行时间(不含跨链延迟): 2339535 微秒
交易ID,开始时间,完成时间,延迟(微秒),类型
1,2985127100776,2985127110439,9663,普通
2,2985127100905,2985127110456,9551,普通
3,2985127132094,2985127142623,10529,普通
